Soil Moisture (%),Temperature (°C),Humidity (%),pH,Weather
37.7,21.0,76.2,6.8,Sunny
21.9,16.4,43.7,6.8,Sunny
23.0,39.6,71.4,5.6,Cloudy
54.8,31.7,38.8,7.7,Rain expected
28.3,29.8,67.5,6.3,Rain expected
30.9,43.9,46.5,4.6,Storm
23.6,38.3,85.8,7.8,Sunny
17.7,41.5,39.1,7.1,Storm
45.0,37.6,72.0,7.7,Rain expected
18.9,25.9,34.0,6.0,Storm
57.0,29.0,65.7,6.5,Rain expected
18.0,33.5,72.4,5.6,Rain expected
29.3,24.5,63.7,5.2,Rain expected
39.1,21.9,71.9,5.7,Storm
52.0,41.9,79.7,8.0,Storm
33.3,15.2,89.7,8.0,Sunny
33.0,35.6,45.3,5.4,Cloudy
15.0,25.4,38.2,5.7,Rain expected
39.3,31.2,30.1,6.0,Cloudy
50.5,40.9,80.5,7.0,Rain expected
33.9,39.6,71.6,7.7,Sunny
14.5,19.2,51.9,4.8,Sunny
56.0,33.1,66.6,7.3,Cloudy
25.6,18.7,33.7,6.3,Storm
49.9,29.0,63.5,4.7,Sunny
33.5,34.3,65.1,7.3,Rain expected
45.5,26.6,72.9,4.5,Cloudy
12.8,44.1,34.9,8.0,Sunny
57.1,38.0,52.1,5.4,Cloudy
23.5,33.7,58.8,6.0,Cloudy
42.5,45.0,66.9,5.5,Cloudy
12.0,32.1,33.6,6.2,Sunny
34.1,44.5,70.3,5.5,Cloudy
56.6,41.5,33.0,4.9,Sunny
24.2,37.3,53.4,6.7,Cloudy
13.6,18.0,33.7,6.7,Cloudy
11.0,20.0,45.8,7.5,Cloudy
59.3,21.3,53.8,7.3,Storm
38.5,35.7,43.9,6.6,Sunny
57.5,43.2,62.7,5.6,Rain expected
38.2,22.3,62.1,5.3,Rain expected
28.6,29.5,72.0,5.7,Storm
26.5,36.8,79.5,6.7,Rain expected
24.4,20.9,84.7,6.2,Cloudy
42.2,35.8,36.4,6.1,Cloudy
18.8,27.7,61.8,7.1,Cloudy
18.5,26.1,80.0,6.9,Rain expected
26.8,38.1,89.7,5.9,Rain expected
15.3,31.2,50.5,4.9,Rain expected
39.7,38.1,42.1,7.9,Rain expected
17.9,31.2,32.7,6.0,Cloudy
38.1,19.0,77.0,7.1,Cloudy
16.7,32.0,39.7,6.7,Rain expected
13.1,35.4,42.3,5.7,Sunny
11.2,16.4,55.7,5.9,Rain expected
16.5,30.4,71.7,4.9,Cloudy
59.8,36.2,87.8,5.5,Rain expected
21.3,21.3,87.9,7.9,Sunny
37.2,27.7,37.6,6.5,Storm
51.8,17.2,49.5,6.7,Storm
17.9,17.5,85.5,8.0,Cloudy
10.0,44.3,76.4,6.8,Cloudy
45.2,24.9,56.3,7.7,Rain expected
36.7,19.1,55.2,7.3,Sunny
20.6,38.0,89.9,5.8,Rain expected
15.0,45.0,35.4,8.0,Storm
21.9,27.6,49.9,7.6,Sunny
35.1,34.0,49.6,5.5,Storm
20.8,43.3,33.2,7.9,Sunny
29.3,31.4,79.6,5.3,Cloudy
11.6,33.8,73.8,6.8,Rain expected
49.1,41.1,76.5,7.5,Sunny
18.4,27.2,83.3,4.7,Cloudy
26.0,44.1,64.5,6.8,Cloudy
55.8,23.2,56.7,4.8,Storm
51.0,15.7,68.8,4.5,Cloudy
35.1,28.3,63.0,4.6,Sunny
45.1,22.5,76.9,4.8,Cloudy
40.0,42.4,37.4,4.6,Sunny
43.2,30.5,40.5,7.9,Cloudy
22.2,41.2,69.7,5.2,Rain expected
13.5,29.9,51.4,5.9,Storm
58.1,15.1,84.9,6.9,Storm
53.8,36.7,43.3,5.0,Sunny
19.4,28.5,81.8,5.3,Sunny
22.5,25.2,83.4,5.8,Storm
26.0,16.2,79.0,6.8,Sunny
11.3,29.3,61.5,6.1,Storm
30.9,22.1,55.7,6.7,Cloudy
55.7,42.9,75.1,6.5,Storm
38.4,35.6,57.0,6.1,Cloudy
40.8,34.3,76.4,7.0,Sunny
24.7,41.6,49.8,5.5,Rain expected
46.1,38.8,51.8,7.8,Cloudy
50.1,19.4,39.1,5.7,Rain expected
10.2,30.1,87.0,6.0,Sunny
45.9,39.0,49.2,6.6,Cloudy
46.4,22.7,35.4,6.5,Rain expected
19.1,29.1,32.5,6.6,Cloudy
42.7,40.2,54.4,5.5,Sunny
